visc, ref, v_order, p_order, err
1,0,1,1,0.000221595
1,0,2,1,7.74391e-05
1,1,1,1,5.88791e-05
1,1,2,1,1.90129e-05
1,2,1,1,1.50723e-05
1,2,2,1,4.74757e-06
0.1,0,1,1,0.0108266
0.1,0,2,1,0.000924652
0.1,1,1,1,0.00241613
0.1,1,2,1,0.000104918
0.1,2,1,1,0.000577905
0.1,2,2,1,1.29869e-05
0.01,0,1,1,0.0196289
0.01,0,2,1,0.00870959
0.01,1,1,1,0.0040491
0.01,1,2,1,0.000543092
0.01,2,1,1,0.000938844
0.01,2,2,1,5.09859e-05
